,action,start,end,duration
0,combine_df_joint,1675877921.6506212,1675877975.2266407,53.576019525527954
1,set_activity_lifecycle_property,1675877975.2266407,1675877996.914586,21.68794536590576
2,create_ti_nodes,1675877996.914586,1675878081.122417,84.2078309059143
3,correlate_ti_to_entity_(resource),1675878081.122417,1675878082.9918466,1.869429588317871
4,create_df_ti_(resource),1675878082.9918466,1675878087.2508276,4.258980989456177
5,correlate_ti_to_entity_(case),1675878087.2508276,1675878092.4551587,5.204331159591675
6,create_df_ti_(case),1675878092.4551587,1675878098.0510492,5.595890522003174
7,total,1675877921.6506212,1675878098.0525732,176.40195202827454
