,action,start,end,duration
0,query_nodes_and_edges,1675913036.1008182,1675913039.2472153,3.146397113800049
0,calculate_parameters,1675913039.2472153,1675913039.2482152,0.0009999275207519531
0,draw_nodes,1675913039.2482152,1675913039.2547538,0.0065386295318603516
0,total,1675913039.2547538,1675913039.2547538,3.153935670852661
