,action,start,end,duration
0,import_event_nodes,1675877661.7747478,1675877695.4981477,33.72339987754822
1,filter_events_SUSPEND_RESUME,1675877695.4981477,1675877703.3676722,7.8695244789123535
2,create_entity_nodes_(case),1675877703.3676722,1675877705.6020443,2.234372138977051
3,correlate_events_to_cases,1675877705.6020443,1675877763.3080943,57.70604991912842
4,create_directly_follows_(case),1675877763.3080943,1675877831.2777004,67.96960616111755
5,create_entity_nodes_(resource),1675877831.2777004,1675877832.828835,1.5511345863342285
6,correlate_events_to_resources,1675877832.828835,1675877857.2559135,24.42707848548889
7,create_directly_follows_(resource),1675877857.2559135,1675877921.6456769,64.38976335525513
8,total,1675877661.7747478,1675877921.6475863,259.87283849716187
