,action,start,end,duration
0,create_cluster_nodes,1675908999.4984255,1675909019.9052052,20.406779766082764
0,link_task_instances_to_cluster_nodes,1675909019.9052052,1675909021.3151948,1.409989595413208
0,aggregate_DF_relationships_between_clusters,1675909021.3151948,1675912746.6847203,3725.3695254325867
0,create_artificial_start_and_end_nodes,1675912746.6847203,1675912746.7069516,0.022231340408325195
0,connect_artificial_start_and_end_for_case_perspective,1675912746.7069516,1675912746.8438818,0.13693022727966309
0,connect_artificial_start_and_end_for_resource_perspective,1675912746.8438818,1675912748.1278653,1.2839834690093994
0,total,1675912748.1278653,1675912748.128865,3748.630439519882
