,action,start,end,duration
0,query_nodes_and_edges,1675912947.6733568,1675912952.0341911,4.360834360122681
0,draw_nodes_and_edges,1675912952.0341911,1675912952.0396955,0.0055043697357177734
0,total,1675912952.0396955,1675912952.0407028,4.3673460483551025
