,action,start,end,duration
0,query_nodes,1675912754.1868122,1675912806.7804022,52.59359002113342
0,query_edges,1675912806.7804022,1675912890.6202514,83.83984923362732
0,query_start_end_edges,1675912890.6202514,1675912947.2353213,56.61506986618042
0,calculate_parameters,1675912947.2353213,1675912947.2363238,0.0010025501251220703
0,draw_edges,1675912947.2363238,1675912947.2393227,0.002998828887939453
0,draw_nodes,1675912947.2393227,1675912947.2533872,0.014064550399780273
0,total,1675912947.2533872,1675912947.254387,193.06757473945618
